N,seed,k,L,w,recall,qps,time_per_query
50,42,2,15,80,0.3055955821334837,1.76457,0.5667103033600254
50,42,2,15,120,0.3055955821334837,1.555909,0.6427111097114292
50,42,2,15,300,0.3055955821334837,1.630915,0.6131527394131515
50,42,2,15,500,0.3055955821334837,1.281024,0.7806254996003198
50,42,2,15,1000,0.3055955821334837,1.529779,0.6536891930141543
50,42,4,5,20,0.3055955821334837,1.949578,0.5129315164615111
50,42,4,5,40,0.3055955821334837,2.115177,0.4727736733143373
50,42,4,5,80,0.3055955821334837,1.637306,0.6107593815694806
50,42,4,5,120,0.3055955821334837,1.927086,0.5189182008483274
50,42,4,5,300,0.3055955821334837,1.66242,0.6015327053331889
50,42,4,5,500,0.3055955821334837,1.56021,0.6409393607270816
50,42,4,5,1000,0.3055955821334837,1.855692,0.5388825300750341
50,42,4,10,20,0.3055955821334837,1.536541,0.6508124417116107
50,42,4,10,40,0.3055955821334837,1.442223,0.693374048257447
50,42,4,10,80,0.3055955821334837,1.565727,0.6386809450178734
50,42,4,10,120,0.3055955821334837,2.484053,0.40256790012129373
50,42,4,10,300,0.3055955821334837,1.772566,0.5641538876408551
50,42,4,10,500,0.3055955821334837,2.125699,0.4704334903483513
50,42,4,10,1000,0.3055955821334837,1.966615,0.5084879348525257
50,42,4,15,20,0.3055955821334837,1.724652,0.5798271187462746
50,42,4,15,40,0.3055955821334837,1.738687,0.575146648016578
50,42,4,15,80,0.3055955821334837,1.062985,0.9407470472302054
50,42,4,15,120,0.3055955821334837,1.67082,0.5985085167761938
50,42,4,15,300,0.3055955821334837,1.968471,0.508008499998222
50,42,4,15,500,0.3055955821334837,1.20952,0.8267742575567167
50,42,4,15,1000,0.3055955821334837,1.829045,0.5467334045909203
50,42,6,5,20,0.3055955821334837,3.018095,0.3313348320712237
50,42,6,5,40,0.3055955821334837,1.849083,0.5408086062118358
50,42,6,5,80,0.3055955821334837,1.751109,0.5710666783164269
50,42,6,5,120,0.3055955821334837,2.110088,0.4739138841602814
50,42,6,5,300,0.3055955821334837,2.696673,0.3708273120248543
50,42,6,5,500,0.3055955821334837,2.028855,0.4928888461718555
50,42,6,5,1000,0.3055955821334837,2.17115,0.4605854040485457
50,42,6,10,20,0.3055955821334837,2.133902,0.46862508212654563
50,42,6,10,40,0.3055955821334837,2.666297,0.3750519915823331
50,42,6,10,80,0.3055955821334837,2.027506,0.49321678949408787
50,42,6,10,120,0.3055955821334837,2.368305,0.4222429121249164
50,42,6,10,300,0.3055955821334837,2.327215,0.42969815852854165
50,42,6,10,500,0.3055955821334837,1.303504,0.7671629699640354
50,42,6,10,1000,0.3055955821334837,1.80195,0.5549543550043009
50,42,6,15,20,0.3055955821334837,2.110191,0.47389075206936243
50,42,6,15,40,0.3055955821334837,1.60687,0.6223278796666811
50,42,6,15,80,0.3055955821334837,3.28424,0.3044844469344506
50,42,6,15,120,0.3055955821334837,1.706134,0.5861204336822313
50,42,6,15,300,0.3055955821334837,1.622787,0.6162238174202775
50,42,6,15,500,0.3055955821334837,1.622933,0.6161683815659673
50,42,6,15,1000,0.3055955821334837,1.38617,0.7214122365943572
