N,seed,kproj,w,M,probes,recall,qps,time_per_query
10,42,16,1000,2000,100,0.09166666666666667,8.62587,0.11593033514300585
10,42,16,1000,2000,250,0.09166666666666667,13.892169,0.07198299991887515
10,42,16,1000,2000,500,0.09166666666666667,18.294551,0.05466108460382548
10,42,16,1000,5000,100,0.1369047619047619,7.933722,0.12604424505925466
10,42,16,1000,5000,250,0.1369047619047619,2.632631,0.3798481443088682
10,42,16,1000,5000,500,0.1369047619047619,3.401531,0.29398526722231844
10,42,16,1000,10000,100,0.18571428571428572,2.098199,0.47659921675684713
10,42,16,1000,10000,250,0.18571428571428572,3.476999,0.287604339259229
10,42,16,1000,10000,500,0.18571428571428572,3.417849,0.29258167929595486
10,42,20,20,2000,100,0.09166666666666667,4.551858,0.21969050879882457
10,42,20,20,2000,250,0.09166666666666667,42.425164,0.023570916543775765
10,42,20,20,2000,500,0.09166666666666667,20.149577,0.049628833399331405
10,42,20,20,5000,100,0.1369047619047619,10.021647,0.09978399758043763
10,42,20,20,5000,250,0.1369047619047619,9.506592,0.1051901669914939
10,42,20,20,5000,500,0.1369047619047619,5.416854,0.18460899998412364
10,42,20,20,10000,100,0.18571428571428572,2.130333,0.4694101814129529
10,42,20,20,10000,250,0.18571428571428572,2.301608,0.4344788513074338
10,42,20,20,10000,500,0.18571428571428572,1.567838,0.6378209993634546
10,42,20,40,2000,100,0.09166666666666667,8.523617,0.11732108563770521
10,42,20,40,2000,250,0.09166666666666667,26.56754,0.0376399169813991
10,42,20,40,2000,500,0.09166666666666667,10.564217,0.09465916877701396
10,42,20,40,5000,100,0.1369047619047619,17.588886,0.056854083880013784
10,42,20,40,5000,250,0.1369047619047619,21.152904,0.047274832807826295
10,42,20,40,5000,500,0.1369047619047619,5.963041,0.1676996686757646
10,42,20,40,10000,100,0.18571428571428572,2.79703,0.35752208592685814
10,42,20,40,10000,250,0.18571428571428572,1.269717,0.7875770742614299
10,42,20,40,10000,500,0.18571428571428572,2.793916,0.3579205674043171
10,42,20,80,2000,100,0.09166666666666667,4.855105,0.20596876895556326
10,42,20,80,2000,250,0.09166666666666667,8.256315,0.12111940980933987
10,42,20,80,2000,500,0.09166666666666667,5.796827,0.17250816696789467
10,42,20,80,5000,100,0.1369047619047619,5.115301,0.19549191728893375
10,42,20,80,5000,250,0.1369047619047619,4.847999,0.20627066961028664
10,42,20,80,5000,500,0.1369047619047619,5.988867,0.16697649154673164
10,42,20,80,10000,100,0.18571428571428572,2.034017,0.4916379754938135
10,42,20,80,10000,250,0.18571428571428572,1.76071,0.5679527008990691
10,42,20,80,10000,500,0.18571428571428572,1.998388,0.5004033250800145
10,42,20,120,2000,100,0.09166666666666667,7.646312,0.13078200314086058
10,42,20,120,2000,250,0.09166666666666667,5.564923,0.17969700569082447
10,42,20,120,2000,500,0.09166666666666667,26.205909,0.03815933269095913
10,42,20,120,5000,100,0.1369047619047619,5.302442,0.1885923504679542
10,42,20,120,5000,250,0.1369047619047619,3.362851,0.2973667284099117
10,42,20,120,5000,500,0.1369047619047619,3.782747,0.26435815030717097
10,42,20,120,10000,100,0.18571428571428572,2.573098,0.3886365773864812
10,42,20,120,10000,250,0.18571428571428572,1.692345,0.5908960643367634
10,42,20,120,10000,500,0.18571428571428572,1.519863,0.6579540392785402
10,42,20,300,2000,100,0.09166666666666667,4.098921,0.2439666439045788
10,42,20,300,2000,250,0.09166666666666667,13.007397,0.07687933258283729
10,42,20,300,2000,500,0.09166666666666667,117.822638,0.008487333308561636
10,42,20,300,5000,100,0.1369047619047619,1.466671,0.6818161673613237
10,42,20,300,5000,250,0.1369047619047619,3.141808,0.318288068526148
10,42,20,300,5000,500,0.1369047619047619,9.138972,0.10942149729750784
10,42,20,300,10000,100,0.18571428571428572,10.522458,0.0950348293145955
10,42,20,300,10000,250,0.18571428571428572,1.637111,0.6108321305030631
10,42,20,300,10000,500,0.18571428571428572,1.847963,0.541136375565961
10,42,20,500,2000,100,0.09166666666666667,12.380949,0.08076925282544982
10,42,20,500,2000,250,0.09166666666666667,29.921755,0.03342049956628546
10,42,20,500,2000,500,0.09166666666666667,21.794169,0.045883832505841354
10,42,20,500,5000,100,0.1369047619047619,3.202821,0.3122247543649801
10,42,20,500,5000,250,0.1369047619047619,14.232883,0.07025983421630039
10,42,20,500,5000,500,0.1369047619047619,4.575977,0.2185325669250523
10,42,20,500,10000,100,0.18571428571428572,4.228599,0.23648494454073324
10,42,20,500,10000,250,0.18571428571428572,1.916557,0.5217689846949504
10,42,20,500,10000,500,0.18571428571428572,1.726345,0.579258491205408
10,42,20,1000,2000,100,0.09166666666666667,16.02943,0.06238525013054113
10,42,20,1000,2000,250,0.09166666666666667,52.000503,0.019230583211858547
10,42,20,1000,2000,500,0.09166666666666667,99.303222,0.01007016670617193
10,42,20,1000,5000,100,0.1369047619047619,4.710375,0.21229732240002122
10,42,20,1000,5000,250,0.1369047619047619,5.084838,0.1966630991980472
10,42,20,1000,5000,500,0.1369047619047619,6.151218,0.16256942933903495
10,42,20,1000,10000,100,0.18571428571428572,2.609628,0.38319637894749753
10,42,20,1000,10000,250,0.18571428571428572,5.199016,0.19234408972774847
10,42,20,1000,10000,500,0.18571428571428572,4.026498,0.24835477380095555
1,42,12,20,2000,100,0.0,69.875098,0.014311250053631411
1,42,12,20,2000,250,0.0,92.040068,0.010864833346276971
1,42,12,20,2000,500,0.0,58.031008,0.01723216663753282
1,42,12,20,5000,100,0.08333333333333333,18.258448,0.0547691676751496
1,42,12,20,5000,250,0.08333333333333333,22.324585,0.04479366581730411
1,42,12,20,5000,500,0.08333333333333333,22.465053,0.044513582941469135
1,42,12,20,10000,100,0.08333333333333333,9.905624,0.10095275168934335
1,42,12,20,10000,250,0.08333333333333333,9.318608,0.1073121650787328
1,42,12,20,10000,500,0.08333333333333333,9.005574,0.11104233888922573
1,42,12,40,2000,100,0.0,35.105888,0.028485250109611244
1,42,12,40,2000,250,0.0,36.238777,0.027594750231223313
1,42,12,40,2000,500,0.0,109.926349,0.009097000028628259
1,42,12,40,5000,100,0.08333333333333333,19.888887,0.05027933438407086
1,42,12,40,5000,250,0.08333333333333333,37.162173,0.026909083061423773
1,42,12,40,5000,500,0.08333333333333333,16.67051,0.05998616718984602
1,42,12,40,10000,100,0.08333333333333333,9.515721,0.10508925177608718
1,42,12,40,10000,250,0.08333333333333333,11.0501,0.09049691857992236
1,42,12,40,10000,500,0.08333333333333333,9.323814,0.10725224677369154
