N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
1,42,1500,2200,10,256,8,512,0.001,0.16666666666666666,24.35759393,0.04105495817336668
1,42,1500,2200,10,512,8,512,0.001,0.16666666666666666,19.10308452,0.05234756716660331
1,42,1500,2200,15,128,8,512,0.001,0.16666666666666666,27.73682622,0.03605315157791691
1,42,1500,2200,15,256,8,512,0.001,0.16666666666666666,20.23640482,0.04941589224444068
1,42,1500,2200,15,512,8,512,0.001,0.16666666666666666,18.62483338,0.053691755496392
50,42,1000,1800,5,128,8,512,0.001,0.3055955821334837,28.19001724,0.03547355049435933
50,42,1000,1800,5,256,8,512,0.001,0.3055955821334837,34.17754577,0.02925897625094454
50,42,1000,1800,5,512,8,512,0.001,0.3055955821334837,26.97529734,0.037070953746899456
50,42,1000,1800,10,128,8,512,0.001,0.3055955821334837,33.34897734,0.029985926998743768
50,42,1000,1800,10,256,8,512,0.001,0.3055955821334837,26.61986392,0.03756593208009156
50,42,1000,1800,10,512,8,512,0.001,0.3055955821334837,26.28928382,0.038038312753093474
50,42,1000,1800,15,128,8,512,0.001,0.3055955821334837,29.14477046,0.034311472837724316
50,42,1000,1800,15,256,8,512,0.001,0.3055955821334837,34.67304769,0.028840845170019724
50,42,1000,1800,15,512,8,512,0.001,0.3055955821334837,27.31410286,0.03661112375264739
50,42,1000,2000,5,128,8,512,0.001,0.3055955821334837,25.83575975,0.038706041923152655
50,42,1000,2000,5,256,8,512,0.001,0.3055955821334837,29.58114642,0.03380531591986894
50,42,1000,2000,5,512,8,512,0.001,0.3055955821334837,28.25559833,0.03539121657665495
50,42,1000,2000,10,128,8,512,0.001,0.3055955821334837,26.36981417,0.03792214816354923
50,42,1000,2000,10,256,8,512,0.001,0.3055955821334837,29.10179217,0.03436214492078135
50,42,1000,2000,10,512,8,512,0.001,0.3055955821334837,25.35131857,0.039445680004328076
50,42,1000,2000,15,128,8,512,0.001,0.3055955821334837,30.46133432,0.032828502832307975
50,42,1000,2000,15,256,8,512,0.001,0.3055955821334837,22.77353916,0.04391061015919846
50,42,1000,2000,15,512,8,512,0.001,0.3055955821334837,27.73445386,0.03605623550576741
50,42,1000,2200,5,128,8,512,0.001,0.3055955821334837,22.86687103,0.04373138759072277
50,42,1000,2200,5,256,8,512,0.001,0.3055955821334837,25.9539397,0.0385297959215032
50,42,1000,2200,5,512,8,512,0.001,0.3055955821334837,33.08179052,0.030228109914287676
50,42,1000,2200,10,128,8,512,0.001,0.3055955821334837,27.02721585,0.03699974150315597
50,42,1000,2200,10,256,8,512,0.001,0.3055955821334837,22.09556826,0.045257944409165425
50,42,1000,2200,10,512,8,512,0.001,0.3055955821334837,26.02826036,0.03841977858561731
50,42,1000,2200,15,128,8,512,0.001,0.3055955821334837,23.26590847,0.04298134333715962
50,42,1000,2200,15,256,8,512,0.001,0.3055955821334837,25.56464079,0.03911652849787607
